PRODUCT NAME,D.N.,MRP
SLIM SHIRT ,S19905,1695
SLIM SHIRT ,S19897,1695
SLIM SHIRT ,S19899,1695
JEANS,A19716,1550
TROUSER,L13191,1295
TROUSER,L13192,1450
FORMAL ,F13561,1495
TROUSER,L17777,1695
TROUSER,L17778,1850
