PRODUCT NAME,DN.,MRP
JACKET,J32947,1195
JACKET,J32954,1045
JACKET,J32955,1045
JACKET,J32953,1045
JEANS,A33140,1245
JEANS,A33136,1245
JEANS,B33140,1245
SALWAR,16335,395
SALWAR,27104,495
SLIM SHIRT,S13560,1395
