PRODUCT NAME,DN.,MRP
SLIM SHIRT,S32913,1695
LONG KURTA,K31995,2195
JACKET,J32917,1495
JEANS,A33140,1245
JEANS,A33136,1245
JEANS,B33140,1245
JEANS,B33136,1245
JEANS,A33278,1345
JEANS,B32965,1195
JEANS,C31942,1495
JEANS,B33282,1445
JEANS,B33278,1345
JEANS,A32965,1195
JEANS,B33138,1495
JEANS,A33281,1495
JEANS,A33276,1495
JEANS,A33266,1395
JEANS,B33276,1495
JEANS,D33270,1650
JEANS,B33281,1495
