PRODUCT NAME,D.N.,MRP
SLIM SHIRT,S23061,1795
SLIM SHIRT,S23084,1795
SLIM SHIRT,S23109,1895
SLIM SHIRT,S23110,1895
SLIM SHIRT,S21148,1795
SLIM SHIRT,S23058,1795
SLIM SHIRT,S23106,1895
FORMAL SHIRT,F23111,1895
LONG KURTA,K24253,2195
LONG KURTA,K23228,1995
LONG KURTA,K23225,1995
LONG KURTA,k23398,1795
LONG KURTA,K23393,1795
LONG KURTA,K23392,1795
JACKET,J23712,1045
JACKET,J23982,1295
JACKET,J13560,1395
JACKET,J23897,995
JACKET,J23754,1295
JACKET,J23755,1295
JACKET,J23711,1045
JACKET,J23714,1045
JEANS,K19703,1650
JEANS,J19703,1650
JEANS,F23587,1550
JEANS,G23586,1550
