PRODUCT,DESIGN NO.,MRP
SLIM SHIRT,S20127,1595
SLIM SHIRT,P19946,1695
TROUSER,L13404,1195
TROUSER,L17773,1695
SLIM SHIRT,S19773,1695
SLIM SHIRT,P19949,1695
