PRODUCT,D.N,MRP
TROUSER,L17639,1795
LONG KURTA,K19551,1195
JEANS,A19703,1350
JEANS,B19703,1350
LONG KURTA,K19550,1195
LONG KURTA,K19552,1195
JACKET,T13405,1350
SLIM SHIRT,S17424,995
LONG KURTA,K19429,1095
JACKET,J13405,1250
LONG KURTA,K18353,1395
