PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F30387,2495
SLIM SHIRT,SA30390,2495
SLIM SHIRT,S30385,2495
SLIM SHIRT,S30388,2495
SLIM SHIRT,S30387,2495
LONG KURTA,K30253,1295
JACKET,J30675,995
JACKET,J30653,995
JACKET,J30672,995
JACKET,J30673,995
