PRODUCT NAME,D.N.,MRP
JEANS,B17768,1450
JEANS,C12413,1550
JEANS,A17760,1550
JEANS,B17760,1550
JEANS,B16245,1450
JEANS,B17756,1650
JEANS,B12413,1550
JEANS,B18019,1250
JEANS,A18019,1250
JEANS,F16508,1650
JEANS,G16508,1550
JEANS,A17756,1650
JEANS,B17755,1450
JEANS,B18018,1350
JEANS,A18018,1350
SLIM SHIRT,P18641,1495
TROUSER,L17345,1795
TROUSER,L17345,1950
TROUSER,L11131,1795
TROUSER,L11131,1950
TROUSER,L13188,1295
TROUSER,L13593,1295
TROUSER,L13593,1450
SLIM,P18355,1295
