PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F30255,995
FORMAL SHIRT,F29679,1595
SLIM SHIRT,S30694,995
SLIM SHIRT,S30693,995
SLIM SHIRT,S30691,995
SLIM SHIRT,S30692,995
JEANS,A31313,1295
JEANS,A31307,1295
LONG KURTA,K31097,1595
