Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010010000353,595,SHIRT,HALF - SH,39 CM,6608,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000357,595,SHIRT,FULL - SH,39 CM,6812,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000359,595,SHIRT,FULL - SH,42 CM,6812,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000364,595,SHIRT,HALF - SH,44 CM,6812,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000365,595,SHIRT,FULL - SH,39 CM,6810,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000369,595,SHIRT,HALF - SH,39 CM,6810,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000372,595,SHIRT,HALF - SH,44 CM,6810,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000382,695,SHIRT,FULL - SH,40 CM,5378,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000385,695,SHIRT,HALF - SH,39 CM,5378,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000386,695,SHIRT,HALF - SH,40 CM,5378,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000387,695,SHIRT,HALF - SH,42 CM,5378,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000388,695,SHIRT,HALF - SH,44 CM,5378,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
