Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010020019178,1195,TROUSER,PL,32 / 81,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019179,1195,TROUSER,PL,34 / 86,8295,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019180,1195,TROUSER,PL,36 / 91,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019181,1195,TROUSER,PL,38 / 97,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019182,1195,TROUSER,PL,40 / 102,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019183,1295,TROUSER,PL,42 / 107,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019184,1295,TROUSER,PL,44 / 112,8295,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019185,995,TROUSER,NP,28 / 71,8087,PATTERN TROUSER,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4975
0010020019186,995,TROUSER,NP,30 / 76,8087,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019187,995,TROUSER,NP,32 / 81,8087,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019188,995,TROUSER,NP,34 / 86,8087,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019189,995,TROUSER,NP,36 / 91,8087,PATTERN TROUSER,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2985
0010020019190,995,TROUSER,NP,38 / 97,8087,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019192,995,TROUSER,NP,28 / 71,8085,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019193,995,TROUSER,NP,30 / 76,8085,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019194,995,TROUSER,NP,32 / 81,8085,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019195,995,TROUSER,NP,34 / 86,8085,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019196,995,TROUSER,NP,36 / 91,8085,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019197,995,TROUSER,NP,38 / 97,8085,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019199,1195,TROUSER,NP,28 / 71,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019200,1195,TROUSER,NP,30 / 76,8399,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019201,1195,TROUSER,NP,32 / 81,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019202,1195,TROUSER,NP,34 / 86,8399,REGALIA,1,0,0,0,2,0,0,2,0,0,0,0,0,0,3,3585
0010020019203,1195,TROUSER,NP,36 / 91,8399,REGALIA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5975
0010020019204,1195,TROUSER,NP,38 / 97,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019205,1195,TROUSER,NP,40 / 102,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019207,1195,TROUSER,PL,32 / 81,8399,REGALIA,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4780
0010020019208,1195,TROUSER,PL,34 / 86,8399,REGALIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2390
0010020019209,1195,TROUSER,PL,36 / 91,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019210,1195,TROUSER,PL,38 / 97,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019211,1195,TROUSER,PL,40 / 102,8399,REGALIA,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3585
0010020019212,1295,TROUSER,PL,42 / 107,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019213,1295,TROUSER,PL,44 / 112,8399,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019214,995,TROUSER,NP,28 / 71,8088,PATTERN TROUSER,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7960
0010020019215,995,TROUSER,NP,30 / 76,8088,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019216,995,TROUSER,NP,32 / 81,8088,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019217,995,TROUSER,NP,34 / 86,8088,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019218,995,TROUSER,NP,36 / 91,8088,PATTERN TROUSER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2985
0010020019219,995,TROUSER,NP,38 / 97,8088,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019221,995,TROUSER,NP,28 / 71,8086,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019222,995,TROUSER,NP,30 / 76,8086,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019223,995,TROUSER,NP,32 / 81,8086,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019224,995,TROUSER,NP,34 / 86,8086,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019225,995,TROUSER,NP,36 / 91,8086,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019226,995,TROUSER,NP,38 / 97,8086,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019228,1195,TROUSER,NP,28 / 71,8558,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019229,1195,TROUSER,NP,30 / 76,8558,REGALIA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13145
0010020019230,1195,TROUSER,NP,32 / 81,8558,REGALIA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10755
0010020019231,1195,TROUSER,NP,34 / 86,8558,REGALIA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13145
0010020019232,1195,TROUSER,NP,36 / 91,8558,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019233,1195,TROUSER,NP,38 / 97,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019234,1195,TROUSER,NP,40 / 102,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019237,1195,TROUSER,PL,32 / 81,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019238,1195,TROUSER,PL,34 / 86,8558,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019239,1195,TROUSER,PL,36 / 91,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019240,1195,TROUSER,PL,38 / 97,8558,REGALIA,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2390
0010020019241,1195,TROUSER,PL,40 / 102,8558,REGALIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3585
0010020019242,1295,TROUSER,PL,42 / 107,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019243,1295,TROUSER,PL,44 / 112,8558,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019244,1195,TROUSER,NP,28 / 71,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019245,1195,TROUSER,NP,30 / 76,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019246,1195,TROUSER,NP,32 / 81,8553,REGALIA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10755
0010020019247,1195,TROUSER,NP,34 / 86,8553,REGALIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2390
0010020019248,1195,TROUSER,NP,36 / 91,8553,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019249,1195,TROUSER,NP,38 / 97,8553,REGALIA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1195
0010020019250,1195,TROUSER,NP,40 / 102,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019252,1195,TROUSER,PL,30 / 76,8553,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019261,1195,TROUSER,PL,32 / 81,8553,REGALIA,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2390
0010020019262,1195,TROUSER,PL,34 / 86,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019263,1195,TROUSER,PL,36 / 91,8553,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019264,1195,TROUSER,PL,38 / 97,8553,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019265,1195,TROUSER,PL,40 / 102,8553,REGALIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2390
0010020019266,1295,TROUSER,PL,42 / 107,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019267,1295,TROUSER,PL,44 / 112,8553,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019270,1195,TROUSER,NP,32 / 81,8552,REGALIA,17,0,0,0,2,0,0,2,0,0,0,0,0,0,19,22705
0010020019271,1195,TROUSER,NP,34 / 86,8552,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019272,1195,TROUSER,NP,36 / 91,8552,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019276,1195,TROUSER,PL,32 / 81,8552,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019277,1195,TROUSER,PL,34 / 86,8552,REGALIA,1,0,0,0,2,0,0,2,0,0,0,0,0,0,3,3585
0010020019278,1195,TROUSER,PL,36 / 91,8552,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019279,1195,TROUSER,PL,38 / 97,8552,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019280,1195,TROUSER,PL,40 / 102,8552,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019281,1295,TROUSER,PL,42 / 107,8552,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019282,1295,TROUSER,PL,44 / 112,8552,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019301,1195,TROUSER,NP,34 / 86,8552,REGALIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195
0010020019313,995,TROUSER,NP,28 / 71,8389,PATTERN  TROUSER,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12935
0010020019314,995,TROUSER,NP,30 / 76,8389,PATTERN  TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019315,995,TROUSER,NP,32 / 81,8389,PATTERN  TROUSER,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2985
0010020019316,995,TROUSER,NP,34 / 86,8389,PATTERN  TROUSER,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2985
0010020019317,995,TROUSER,NP,36 / 91,8389,PATTERN  TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019318,995,TROUSER,NP,38 / 97,8389,PATTERN  TROUSER,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1990
0010020019319,995,TROUSER,NP,40 / 102,8389,PATTERN  TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019335,1195,TROUSER,NP,28 / 71,8602,REGALIA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29875
0010020019336,1195,TROUSER,NP,30 / 76,8602,REGALIA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,48995
0010020019337,1195,TROUSER,NP,32 / 81,8602,REGALIA,30,0,0,0,0,0,0,0,6,0,0,0,0,6,24,28680
0010020019338,1195,TROUSER,NP,34 / 86,8602,REGALIA,48,0,0,0,0,0,0,0,7,0,0,0,0,7,41,48995
0010020019339,1195,TROUSER,NP,36 / 91,8602,REGALIA,25,0,0,0,0,0,0,0,7,0,0,0,0,7,18,21510
0010020019340,1195,TROUSER,NP,38 / 97,8602,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019343,1195,TROUSER,PL,32 / 81,8602,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019344,1195,TROUSER,PL,34 / 86,8602,REGALIA,35,0,0,0,0,0,0,0,8,0,0,0,0,8,27,32265
0010020019345,1195,TROUSER,PL,36 / 91,8602,REGALIA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5975
0010020019346,1195,TROUSER,PL,38 / 97,8602,REGALIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3585
0010020019347,1195,TROUSER,PL,40 / 102,8602,REGALIA,13,0,0,0,0,0,0,0,9,0,0,0,0,9,4,4780
0010020019348,1295,TROUSER,PL,42 / 107,8602,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019349,1295,TROUSER,PL,44 / 112,8602,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019350,995,TROUSER,NP,28 / 71,8387,PATTERN TROUSER,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10945
0010020019351,995,TROUSER,NP,30 / 76,8387,PATTERN TROUSER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2985
0010020019352,995,TROUSER,NP,32 / 81,8387,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019353,995,TROUSER,NP,34 / 86,8387,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019354,995,TROUSER,NP,36 / 91,8387,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019355,995,TROUSER,NP,38 / 97,8387,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019357,995,TROUSER,NP,28 / 71,8390,PATTERN TROUSER,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12935
0010020019358,995,TROUSER,NP,30 / 76,8390,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019359,995,TROUSER,NP,32 / 81,8390,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019360,995,TROUSER,NP,34 / 86,8390,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019361,995,TROUSER,NP,36 / 91,8390,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019362,995,TROUSER,NP,38 / 97,8390,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019364,995,TROUSER,NP,28 / 71,8391,PATTERN TROUSER,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18905
0010020019365,995,TROUSER,NP,30 / 76,8391,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019366,995,TROUSER,NP,32 / 81,8391,PATTERN TROUSER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2985
0010020019367,995,TROUSER,NP,34 / 86,8391,PATTERN TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019368,995,TROUSER,NP,36 / 91,8391,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019369,995,TROUSER,NP,38 / 97,8391,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019371,1195,TROUSER,PL,30 / 76,70016,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019372,1195,TROUSER,PL,32 / 81,70016,REGALIA,1,0,0,0,2,0,0,2,0,0,0,0,0,0,3,3585
0010020019373,1195,TROUSER,PL,34 / 86,70016,REGALIA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9560
0010020019374,1195,TROUSER,PL,36 / 91,70016,REGALIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2390
0010020019375,1195,TROUSER,PL,38 / 97,70016,REGALIA,2,0,0,0,4,0,0,4,0,0,0,0,0,0,6,7170
0010020019376,1195,TROUSER,PL,40 / 102,70016,REGALIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3585
0010020019377,1295,TROUSER,PL,42 / 107,70016,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019379,995,TROUSER,NP,28 / 71,8393,PATTERN TROUSER,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22885
0010020019380,995,TROUSER,NP,30 / 76,8393,PATTERN TROUSER,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9950
0010020019381,995,TROUSER,NP,32 / 81,8393,PATTERN TROUSER,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3980
0010020019382,995,TROUSER,NP,34 / 86,8393,PATTERN TROUSER,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1990
0010020019383,995,TROUSER,NP,36 / 91,8393,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019384,995,TROUSER,NP,38 / 97,8393,PATTERN TROUSER,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5970
0010020019386,1295,TROUSER,NP,28 / 71,A-6,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019387,1295,TROUSER,NP,30 / 76,A-6,ROYALE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1295
0010020019388,995,TROUSER,NP,28 / 71,8386,PATTERN TROUSER,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24875
0010020019389,995,TROUSER,NP,30 / 76,8386,PATTERN TROUSER,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11940
0010020019390,995,TROUSER,NP,32 / 81,8386,PATTERN TROUSER,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10945
0010020019391,995,TROUSER,NP,34 / 86,8386,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019392,995,TROUSER,NP,36 / 91,8386,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019393,995,TROUSER,NP,38 / 97,8386,PATTERN TROUSER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995
0010020019398,1295,TROUSER,NP,34 / 86,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019399,1295,TROUSER,NP,36 / 91,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019400,1295,TROUSER,NP,38 / 97,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019404,1295,TROUSER,PL,34 / 86,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019405,1295,TROUSER,PL,36 / 91,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019406,1295,TROUSER,PL,38 / 97,8996,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019407,1295,TROUSER,PL,40 / 102,8996,ROYALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3885
0010020019410,1295,TROUSER,NP,30 / 76,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019411,1295,TROUSER,NP,32 / 81,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019412,1295,TROUSER,NP,34 / 86,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019413,1295,TROUSER,NP,36 / 91,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019414,1295,TROUSER,NP,38 / 97,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019418,1295,TROUSER,PL,34 / 86,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019419,1295,TROUSER,PL,36 / 91,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019420,1295,TROUSER,PL,38 / 97,8997,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019421,1295,TROUSER,PL,40 / 102,8997,ROYALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3885
0010020019424,1295,TROUSER,NP,30 / 76,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019425,1295,TROUSER,NP,32 / 81,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019426,1295,TROUSER,NP,34 / 86,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019427,1295,TROUSER,NP,36 / 91,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019428,1295,TROUSER,NP,38 / 97,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019432,1295,TROUSER,PL,34 / 86,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019433,1295,TROUSER,PL,36 / 91,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019434,1295,TROUSER,PL,38 / 97,8998,ROYALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019435,1295,TROUSER,PL,40 / 102,8998,ROYALE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9065
0010020019439,1195,TROUSER,NP,32 / 81,8095,REGALIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2390
0010020019440,1195,TROUSER,NP,34 / 86,8095,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019441,1195,TROUSER,NP,36 / 91,8095,REGALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019452,995,TROUSER,NP,28 / 71,8626,BASIC TROUSER,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14925
0010020019453,995,TROUSER,NP,30 / 76,8626,BASIC TROUSER,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19900
0010020019454,995,TROUSER,NP,32 / 81,8626,BASIC TROUSER,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,49750
0010020019455,995,TROUSER,NP,34 / 86,8626,BASIC TROUSER,56,0,0,0,0,0,0,0,0,0,0,0,0,0,56,55720
0010020019456,995,TROUSER,NP,36 / 91,8626,BASIC TROUSER,41,0,0,0,0,0,0,0,1,0,0,0,0,1,40,39800
0010020019460,995,TROUSER,PL,32 / 81,8626,BASIC TROUSER,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12935
0010020019461,995,TROUSER,PL,34 / 86,8626,BASIC TROUSER,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40795
0010020019462,995,TROUSER,PL,36 / 91,8626,BASIC TROUSER,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9950
0010020019463,995,TROUSER,PL,38 / 97,8626,BASIC TROUSER,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7960
0010020019464,995,TROUSER,PL,40 / 102,8626,BASIC TROUSER,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7960
0010020019468,995,TROUSER,NP,30 / 76,8628,BASIC TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019469,995,TROUSER,NP,32 / 81,8628,BASIC TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019470,995,TROUSER,NP,34 / 86,8628,BASIC TROUSER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990
0010020019471,995,TROUSER,NP,36 / 91,8628,BASIC TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019475,995,TROUSER,PL,32 / 81,8628,BASIC TROUSER,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,995
0010020019476,995,TROUSER,PL,34 / 86,8628,BASIC TROUSER,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3980
0010020019477,995,TROUSER,PL,36 / 91,8628,BASIC TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019478,995,TROUSER,PL,38 / 97,8628,BASIC TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019479,995,TROUSER,PL,40 / 102,8628,BASIC TROUSER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2985
0010020019482,995,TROUSER,NP,28 / 71,8388,PATTERN TROUSER,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22885
0010020019483,995,TROUSER,NP,30 / 76,8388,PATTERN TROUSER,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5970
0010020019484,995,TROUSER,NP,32 / 81,8388,PATTERN TROUSER,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7960
0010020019485,995,TROUSER,NP,34 / 86,8388,PATTERN TROUSER,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5970
0010020019486,995,TROUSER,NP,36 / 91,8388,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019487,995,TROUSER,NP,38 / 97,8388,PATTERN TROUSER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010020019489,995,TROUSER,NP,28 / 71,8623,BASIC TROUSER,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20895
0010020019490,995,TROUSER,NP,30 / 76,8623,BASIC TROUSER,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18905
0010020019491,995,TROUSER,NP,32 / 81,8623,BASIC TROUSER,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43780
