lkamravati,Sale Qty
8900000601264,1
8900000625802,1
8900000592340,1
8900000612949,1
8900000396344,1
8900000379903,1
8900000368990,1
8900000618309,1
8900000591084,1
8900000630042,1
8900000421602,1
8900000609932,1
8900000586455,1
8900000585168,1
8900000381838,0
8900000618118,1
8900000600458,1
8900000385102,1
8900000475186,1
8900000617968,1
8900000625956,1
8900000582921,1
8900000580187,1
8900000630066,1
8900000466221,1
8900000625192,1
8900000610976,1
8900000614141,1
8900000392599,2
8900000487295,1
8900000595006,1
8900000593866,2
8900000480340,1
8900000609567,1
8900000612871,1
8900000610884,1
8900000608096,2
8900000434367,1
8900000606917,1
8900000581818,1
8900000509737,1
8900000623884,1
8900000404971,0
8900000602643,1
8900000629237,1
8900000615544,1
8900000384853,1
8900000629985,2
8900000422098,1
8900000595617,1
8900000601509,1
8900000632077,1
8900000593262,1
8900000633012,1
8900000622221,1
8900000633760,1
8900000632923,1
8900000595747,2
8900000584987,1
8900000445776,0
8900000631933,1
8900000616145,2
8900000487776,0
8900000633067,2
8900000595754,1
8900000619313,1
8900000486540,1
8900000398003,1
8900000511303,1
8900000632145,1
8900000618071,1
8900000575107,0
8900000615124,1
8900000615285,1
8900000405848,1
8900000630707,1
8900000627462,1
8900000604289,1
8900000479214,1
8900000633494,1
8900000614172,1
8900000628667,1
8900000572403,1
8900000632299,1
8900000583348,1
8900000628742,0
8900000582839,2
8900000624331,1
8900000606252,1
8900000587087,2
8900000633043,1
8900000633777,1
8900000590940,1
8900000633418,1
8900000604302,1
8900000397778,0
8900000633722,1
8900000590988,1
8900000632947,0
8900000472628,0
8900000633739,1
8900000601516,1
8900000397761,2
8900000614875,2
8900000614110,1
8900000518319,1
8900000412693,1
8900000593668,1
8900000583355,1
8900000633104,1
8900000631063,2
8900000629992,1
8900000631650,1
8900000595655,1
8900000633784,1
8900000436712,1
8900000618019,1
8900000398478,1
8900000632930,1
8900000486618,1
8900000581894,1
8900000581900,1
8900000602636,1
8900000497560,1
8900000583812,1
8900000630844,1
8900000397785,1
8900000633432,1
8900000600878,1
8900000183654,1
8900000632114,1
8900000503681,1
8900000509720,1
8900000612512,1
8900000632107,1
8900000481026,1
8900000485239,1
8900000633005,1
8900000619351,1
8900000625789,1
8900000629053,1
8900000582532,1
8900000392643,0
8900000633029,1
8900000400348,2
8900000614868,0
8900000615629,0
8900000633234,1
8900000629978,1
8900000504572,1
8900000629060,0
8900000575091,1
8900000617975,1
8900000578030,1
8900000580309,1
8900000485314,1
8900000632350,1
8900000630523,1
8900000572427,0
8900000632343,0
8900000589890,1
8900000349708,1
8900000419395,1
8900000633098,1
8900000583829,2
8900000473588,1
8900000594436,1
8900000596102,1
8900000602872,1
8900000614042,1
8900000632091,1
8900000626502,1
8900000625949,1
8900000486755,1
8900000443772,1
8900000576234,1
8900000512362,1
8900000589852,1
8900000630554,1
8900000624461,1
8900000589845,1
8900000396368,1
8900000631056,1
8900000593651,1
8900000485291,1
8900000593378,1
8900000503018,1
8900000582846,1
8900000624959,0
8900000625239,1
8900000509799,1
8900000472802,1
8900000616527,1
8900000479337,1
8900000584871,1
8900000625833,1
8900000633623,1
8900000633210,1
8900000629022,1
8900000570157,1
8900000590964,1
8900000502097,1
8900000502493,1
8900000624416,0
8900000617128,1
8900000473571,1
8900000632060,1
8900000583270,1
8900000633081,1
8900000572434,1
8900000618040,1
8900000610914,1
8900000489718,1
8900000629206,1
8900000484393,1
8900000602629,2
8900000475926,1
8900000626199,1
8900000624379,1
8900000624454,1
8900000614134,1
8900000623198,1
8900000613977,1
8900000616152,1
8900000385812,1
8900000605576,1
8900000626083,1
8900000630318,1
8900000630714,1
8900000395163,1
8900000585779,1
8900000623570,1
8900000475971,1
8900000621774,1
8900000615322,1
8900000628858,1
8900000580255,1
8900000630578,1
8900000633425,1
8900000633456,1
8900000394159,1
8900000582877,1
8900000572816,1
8900000630530,1
8900000633579,1
8900000630165,1
8900000349739,1
8900000392650,1
8900000394135,1
8900000395156,1
8900000623952,1
8900000472598,1
8900000623150,1
8900000621781,1
8900000599783,1
8900000631001,1
8900000619979,1
8900000629886,1
8900000486472,1
8900000632411,1
8900000618569,1
8900000500529,1
8900000578870,1
8900000628537,1
8900000628810,1
8900000612192,1
8900000572410,1
8900000595488,1
