kolhapur,
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
8.9E+12,1
