8900000002788	1
8900000004331	1
8900000005635	1
8900000006045	1
8900000006076	4
8900000006250	2
8900000006311	1
8900000009084	1
8900000016303	1
8900000016921	1
8900000017003	1
8900000017065	9
8900000017072	1
8900000017096	4
8900000017126	3
8900000017157	1
8900000017188	2
8900000020355	1
8900000020584	1
8900000025206	1
8900000025237	2
8900000025251	1
8900000033713	1
8900000036486	2
8900000036721	2
8900000036745	1
8900000036752	11
8900000036776	3
8900000037018	1
8900000037025	4
8900000037032	3
8900000037063	2
8900000037070	2
8900000037087	3
8900000037094	3
8900000037100	2
8900000046270	2
8900000050819	1
8900000050826	1
8900000050871	3
8900000050895	2
8900000052325	2
8900000056040	1
8900000060153	1
8900000060207	4
8900000060306	1
8900000067251	4
8900000082421	2
8900000082698	2
8900000082957	3
8900000082964	1
8900000083039	1
8900000083688	1
8900000083701	2
8900000086641	1
8900000086818	1
8900000087396	1
8900000089444	4
8900000089451	1
8900000089789	1
8900000089826	1
8900000090600	2
8900000093519	2
8900000093656	1
8900000093700	2
8900000093762	1
8900000093960	1
8900000094141	4
8900000094547	2
8900000095414	1
8900000098576	10
8900000098583	5
8900000098606	2
8900000099832	1
8900000100187	1
8900000100699	2
8900000100705	10
8900000100729	5
8900000100828	1
8900000100835	2
8900000100842	12
8900000100866	2
8900000101429	19
8900000101436	20
8900000101443	19
8900000101450	8
8900000101474	2
8900000101481	7
8900000101498	13
8900000101504	8
8900000103539	1
8900000104789	4
8900000104796	5
8900000104802	5
8900000104819	9
8900000104826	2
8900000104833	2
8900000110728	19
8900000110735	18
8900000110742	24
8900000110759	11
8900000110773	8
8900000110780	14
8900000110797	6
8900000110803	12
8900000114665	2
8900000115815	1
8900000115822	2
8900000116409	2
8900000116416	20
8900000116423	9
8900000116454	2
8900000116461	2
8900000117758	1
8900000118618	1
8900000118823	19
8900000118830	24
8900000118847	6
8900000118854	2
8900000118861	4
8900000118878	8
8900000119141	10
8900000119158	25
8900000119165	26
8900000119172	3
8900000119196	4
8900000119202	8
8900000119219	10
8900000125654	7
8900000129454	1
8900000130467	23
8900000130474	26
8900000130481	18
8900000130542	14
8900000130559	15
8900000130566	18
8900000130597	8
8900000130603	13
8900000130610	9
8900000130627	1
8900000140688	1
8900000153213	1
8900000154814	2
8900000157433	26
8900000157440	26
8900000157457	34
8900000157464	7
8900000157488	9
8900000157495	10
8900000157518	2
8900000157525	9
8900000157549	7
8900000157556	6
8900000157563	4
8900000157778	1
8900000157877	2
8900000157990	1
8900000158508	2
8900000158515	1
8900000158546	4
8900000158980	1
8900000159093	1
8900000159185	2
8900000159215	3
8900000159499	1
8900000159666	1
8900000159673	2
8900000159703	3
8900000159710	2
8900000159727	1
8900000160679	2
8900000160686	5
8900000160693	3
8900000160877	1
8900000160891	1
8900000161775	1
8900000162192	29
8900000162208	24
8900000162857	3
8900000162864	1
8900000162871	3
8900000163359	6
8900000163427	4
8900000165018	7
8900000165025	18
8900000165056	4
8900000165063	5
8900000165278	1
8900000166022	2
8900000166169	2
8900000166480	1
8900000166992	2
8900000167470	2
8900000167487	11
8900000167494	16
8900000167500	4
8900000167517	2
8900000167524	1
8900000167548	3
8900000169009	3
8900000169016	9
8900000169061	2
8900000169108	4
8900000169115	4
8900000169184	3
8900000169191	1
8900000170555	3
8900000170593	2
8900000170630	1
8900000170746	2
8900000170760	1
8900000170784	2
8900000171286	1
8900000171293	1
8900000171910	1
8900000174430	2
8900000175291	1
8900000175338	3
8900000175345	2
8900000175413	2
8900000175499	2
8900000177196	1
8900000179060	1
8900000179107	4
8900000179114	7
8900000179305	1
8900000179336	1
8900000179350	1
8900000179367	1
8900000180356	1
8900000180363	4
8900000183401	2
8900000183425	1
8900000183661	3
8900000183715	22
8900000183739	12
8900000183746	2
8900000183753	16
8900000183760	18
8900000183777	10
8900000184729	7
8900000184736	18
8900000184743	9
8900000184750	6
8900000187010	1
8900000187195	2
8900000188574	1
8900000189083	1
8900000189090	1
8900000189274	7
8900000189304	4
8900000189564	1
8900000190331	2
8900000193769	2
8900000193806	5
8900000193813	3
8900000194063	2
8900000195428	2
8900000195459	2
8900000195466	4
8900000195473	2
8900000195893	2
8900000195916	3
8900000196654	2
8900000196678	4
8900000198085	3
8900000198108	4
8900000199501	1
